year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
1994,Drama,108,USA,5.7,650,11669,7
2016,Drama,83,Spain,6.3,111,11743,22
1948,Drama,105,France,6.8,566,11818,8
2012,"Crime, Thriller",110,India,3.7,793,11878,15
2017,"Drama, Mystery, Thriller",105,Australia,6.6,2669,11951,24
2018,"Action, Drama, Sci-Fi",100,"Argentina, Canada",3.9,743,12047,6
2017,Drama,79,"Colombia, Argentina",6.5,176,12052,31
1931,"Horror, Sci-Fi",98,USA,7.6,11712,12098,62
2016,"Comedy, Drama",159,India,8.5,3613,12195,16
2011,"Action, Horror, Thriller",93,Italy,4.5,1109,12285,28
2013,Drama,96,Turkey,6.3,435,12323,2
2002,Comedy,89,Poland,6,247,12431,
1980,"Comedy, Drama, Fantasy",139,"Italy, France",7,5642,12516,22
2008,"Drama, Family",98,USA,5.7,157,12522,2
2017,Drama,91,"Slovenia, Croatia",7.3,174,12633,4
2016,Drama,117,India,6.8,5591,12657,26
2010,Drama,111,USA,5.4,1859,12728,27
2017,Comedy,93,USA,5.5,1578,12847,12
2019,"Drama, Romance",128,India,6.4,185,12855,3
2009,"Drama, Romance",110,"Hong Kong, Switzerland, Germany",6.4,784,12922,13
1988,"Fantasy, Musical, Family",96,USA,6.4,541,12951,4
1976,Drama,105,Spain,8,8313,13029,52
2007,Drama,95,Brazil,6,117,13102,
2016,"Adventure, Comedy",93,Turkey,2.8,102,13250,
2010,"Comedy, Drama, Romance",99,USA,6.2,551,13304,10
2008,Comedy,89,UK,5.5,599,13326,7
2017,Action,127,India,4.4,113,13429,2
2009,Drama,94,USA,6.1,2048,13500,25
2019,"Comedy, Horror",86,USA,4.4,969,13553,31
2009,Drama,94,"South Korea, Malaysia, Hong Kong",5.9,277,13696,17
2017,"Comedy, Crime",118,Pakistan,5.8,197,13729,
2017,"Comedy, Romance",137,India,3.8,106,13761,3
2016,"Biography, Drama",141,"Romania, Germany, Belgium, France",7.1,864,13847,84
2014,"Drama, Horror, Thriller",92,Canada,6,16870,13848,123
2006,"Comedy, Romance",86,"UK, Hong Kong",6.1,435,13875,12
2013,Drama,94,"Italy, Chile, Germany, Spain",5.9,934,14001,42
2011,Comedy,100,USA,4.9,597,14057,10
2004,Drama,113,Argentina,5.3,122,14087,5
2018,"Drama, Romance",90,Argentina,6.8,1604,14193,5
2008,Drama,90,New Zealand,5.2,111,14304,7
1953,"Drama, Romance",96,Sweden,7.6,11257,14316,74
1951,"Drama, Fantasy, Mystery",122,UK,7,2932,14404,41
2017,Drama,106,India,7.7,13723,14426,35
2013,"Comedy, Music",93,UK,5.6,967,14482,20
1996,"Comedy, Drama, Music",92,Canada,7.4,2468,14540,25
