zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
2,left,0.03220826031999991,1418,[3.0;  5.0];  [0.0;  378761917.75]
2,right,0.04467578190000012,1418,[3.0;  5.0];  [0.0;  378761917.75]
2,left,0.023564024453999938,1418,average
2,right,0.04003259309400008,1418,average
2,left,0.014544881589999932,1091,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.028031295190000093,1091,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.02204880774000003,1091,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.03063341774999998,1091,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.015587907369999812,1091,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.028299297079999803,1091,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.022777476250000178,1091,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.03175846989999997,1091,[7.0;  9.0];  [200000000;  578761917.75]
2,left,0.024710248339999907,1091,[3.0;  5.0];  [0.0;  378761917.75]
2,right,0.031140365599999883,1091,[3.0;  5.0];  [0.0;  378761917.75]
2,left,0.01993386425799997,1091,average
2,right,0.029972569103999945,1091,average
2,left,0.004763551839999991,474,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.012104950769999902,474,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.008625780120000003,474,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.011721560039999872,474,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.006528826679999895,474,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.013078732150000008,474,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.008907930310000154,474,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.01293978715999998,474,[7.0;  9.0];  [200000000;  578761917.75]
